EBOOK	TITLE	AUTHOR	MISC
47867	Graham's Magazine, Vol. XLI, No. 6, December 1852	by Various	[Editor: George R. Graham]
47868	German Society at the Close of the Middle Ages	by Ernest Belfort Bax
47870	Chats on Old Earthenware	by Arthur Hayden
47871	James Geikie	by Marion I. Newbigin and J. S. Flett	[Subtitle: The Man and the Geologist]
47873	Malay Magic	by Walter William Skeat	[Subtitle: Being an introduction to the folklore and popular religion of the Malay Peninsula]
47874	My Wife and I	by Harriet Beecher Stowe	[Subtitle: Harry Henderson's History]
47875	Santa Claus' Frolics	by George M. Baker
47878	Spanish Arms and Armour	by Albert F. Calvert	[Subtitle: Being a Historical and Descriptive Account of the Royal Armoury of Madrid]
47879	The Brochure Series of Architectural Illustration, Vol. 6, No. 4, April 1900	by Various	[Subtitle: The Petit Trianon: Versailles, English Carved Fireplaces]
47880	The Philosophy of Immanuel Kant	by A. D. Lindsay
47881	Birds and Nature, Vol. 12, No. 1, June 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47882	Birds and Nature, Vol. 12, No. 2, July 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47883	Birds and Nature, Vol. 12, No. 3, August 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47884	Birds and Nature, Vol. 12, No. 4, September 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47885	Birds and Nature, Vol. 12, No. 5, December 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47887	Sir Charles Napier	by Sir William Francis Butler
47892	Main Currents in Nineteenth Century Literature – 4, Naturalism in England	by Georg Brandes
47893	The Brochure Series of Architectural Illustration, Vol. 6, No. 5, May 1900	by Various	[Subtitle: Chippendale Chairs]
47894	The Brochure	by Various	[Subtitle: The Duomo and the Campanile: Florence, Grotesques from Notre Dame, Paris]
47895	The Gunner's Examiner	by Harold E. Cloke
47896	Droll stories of Isthmian life	by Evelyn Saxton
47897	The Yule Log.	by Anonymous	[Subtitle: A Series of Stories for the Young]
47898	Grasses	by H. Marshall Ward	[Subtitle: A Handbook for use in the Field and Laboratory]
47899	The Forbidden Way	by George Gibbs
47900	The Splendid Outcast	by George Gibbs
47901	Motor Matt's Air Ship	by Stanley R. Matthews	[Subtitle: or, The Rival Inventors]
47902	The Romance of Leonardo da Vinci	by Dmitry Sergeyevich Merezhkovsky	[Subtitle: The Forerunner]
47904	The Brochure Series of Architectural Illustration, Vol. 6, No. 7, July 1900	by Various	[Subtitle: House of Jacques Coeur: Bourges, Gothic Carved Woodwork]
47905	Dust	by Julian Hawthorne	[Subtitle: A Novel]
47906	Touring Afoot	by Claude Powell Fordyce
47907	Mr Punch's Animal Land	by E. T. Reed
47908	Greater Greece and Greater Britain; and George Washington the Great Expander of England	by Edward Augustus Freeman	[Subtitle: Two Lectures with an Appendix]
47910	The Wasted Generation	by Owen Johnson
47911	Dactylography	by Henry Faulds	[Subtitle: Or The Study of Finger-prints]
47912	The Burning Wheel	by Aldous Huxley
47914	The Brochure Series of Architectural Illustration, Vol. 6, No. 8, August 1900	by Various	[Subtitle: The Guild Halls of London]
47915	The Brochure Series of Architectural Illustration, Vol. 6, No. 9, September 1900	by Various	[Subtitle: The Ducal Palace: Venice, Types of Italian Garden Fountains]
47916	The Brochure Series of Architectural Illustration, Vol. 6, No. 10, October 1900	by Various	[Subtitle: The Château of Chambord: France, Louis XVI. Sconces]
47917	The Old Furniture Book	by N. Hudson Moore	[Subtitle: With a Sketch of Past Days and Ways]
47920	The Knickerbocker, Vol. 22, No. 2, August 1843	by Various
47921	The Brochure Series of Architectural Illustration, Vol. 6, No. 11, November 1900	by Various	[Subtitle: The Work of Sir Christopher Wren]
47922	The Brochure Series of Architectural Illustration, Vol. 6, No. 12, December 1900	by Various	[Subtitle: The Cathedrals of England]
47923	Runnymede and Lincoln Fair	by J.G. Edgar	[Subtitle: A Story of the Great Charter]
47924	Bob	by Sidney Lanier	[Subtitle: The Story of Our Mocking-bird]
47925	Pomander Walk	by Louis N. Parker
47926	Harper's Young People, July 5, 1881	by Various	[Subtitle: An Illustrated Weekly]
47927	Philippine Islands, 1493-1898, Vol. 34 of 55	by Antonio Pigafetta	[Subtitle: Explorations by early navigators, descriptions of the islands and their peoples, their history and records of the catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the close of the nineteenth century, Volume XXXIV, 1519-1522; 1280-1605]
47928	Time Telling through the Ages	by Harry Chase Brearley
47929	Little Masterpieces of American Wit and Humor, Vol. 2	by Various	[Editor: Thomas L. Masson]
47930	Brought Forward	by R. B. Cunninghame Graham
47931	The Chief Periods of European History	by Edward A. Freeman	[Subtitle: Six lectures read in the University of Oxford in Trinity term, 1885]
47934	An Old Man's Prayer	by George M. Baker
47935	Fathers and Sons	by Ivan Sergeevich Turgenev
47936	Jersey City and its Historic Sites	by Harriet Phillips Eaton
47937	How to judge architecture	by Russell Sturgis	[Subtitle: a popular guide to the appreciation of buildings]
47938	On Digestive Proteolysis	by R. H. Chittenden	[Subtitle: Being the Cartwright Lectures for 1894]
47942	Chats on Oriental China	by J. F. Blacker
47943	The Curiosities of Dudley and the Black Country, From 1800 to 1860	by C. F. G. Clark	[Subtitle: Also an Account of the Trials and Sufferings of Dud Dudley with his Mettallum Martis: Etc.]
47944	The Admiral	by Douglas Sladen	[Subtitle: A Romance of Nelson in the Year of the Nile]
47947	Self Knowledge and Guide to Sex Instruction	by T. W. Shannon	[Subtitle: Vital facts of Life for All Ages]
47948	The Archaeology and Prehistoric Annals of Scotland	by Daniel Wilson
47949	A True Account of the Battle of Jutland, May 31, 1916	by Thomas Goddard Frothingham
47950	Main Currents in Nineteenth Century Literature, Vol. 5 of 6, The Romantic School in France	by Georg Brandes
47951	Birds and All Nature, Vol. 5, No. 4, April 1899	by Various	[Subtitle: Illustrated by Color Photography]
47952	Birds and all Nature, Vol. 5, No. 5, May 1899	by Various	[Subtitle: Illustrated by Color Photography]
47953	The Philippine Islands, 1493-1898, Vol. 37, 1669-1676	by Various	[Subtitle: Explorations by early navigators, descriptions of the islands and their peoples, their history and records of the catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the close of the nineteenth century]
47954	The Old World in the New	by Edward Alsworth Ross	[Subtitle: The Significance of Past and Present Immigration to the American People]
47955	The Nursery Book	by Liberty Hyde Bailey	[Subtitle: A Complete Guide to the Multiplication and Pollination of Plants]
47956	Christmastide	by William Sandys	[Subtitle: Its History, Festivities, and Carols]
47957	Korean Buddhism	by Frederick Starr	[Subtitle: History -- Condition -- Art]
47958	The Minister's Wooing	by Harriet Beecher Stowe
47959	From Paper-mill to Pressroom	by William Bond Wheelwright
47960	Shakespeare's Tragedy of Romeo and Juliet	by William Shakespeare
47961	Natural Wonders	by Edwin Tenney Brewster
47962	The Hidden Servants and other very old stories	by Francesca Alexander
47964	The Talk of the Town, Vol. 1 of 2	by James Payn
47965	The Talk of the Town, Vol. 2 of 2	by James Payn
47966	Frank Armstrong at College	by Matthew M. Colton
47967	The Bases of Design	by Walter Crane
47968	Blackwood's Edinburgh Magazine, Vol. 66, No. 407, September, 1849	by Various
47970	The Dwelling House	by George Vivian Poore
47971	Field Book of Western Wild Flowers	by Margaret Armstrong
47972	Hildebrand	by Anonymous	[Subtitle: or, The Days of Queen Elizabeth, An Historic Romance, Vol. 1 of 3]
47974	For the Honor of the School	by Ralph Henry Barbour	[Subtitle: A Story of School Life and Interscholastic Sport]
47975	Motor Matt's Hard Luck	by Stanley R. Matthews	[Subtitle: or, The Balloon-House Plot]
47976	Race Improvement or Eugenics	by La Reine Helen Baker	[Subtitle: A Little Book on a Great Subject]
47979	The True Life Story of Swiftwater Bill Gates	by Iola Beebe
47980	Trafalgar	by Benito Pérez Galdós	[Subtitle: A Tale]
47981	Langley Memoir on Mechanical Flight Part 1 by Samuel Pierpont Langley Part 2 by Charles Matthews Manly	[Subtitle: Smithsonian Contributions to Knowledge, Vol. 27, No. 3, Publication 1948]
47988	Heroes of To-Day	by Mary R. Parkman
47989	The Yellow Phantom	by Margaret Sutton	[Subtitle: A Judy Bolton Mystery]
47990	The Land's End	by W. H. Hudson	[Subtitle: A Naturalist's Impressions In West Cornwall, Illustrated]
47991	Erchie	by Neil Munro	[Subtitle: My Droll Friend]	[Author a.k.a. Hugh Foulis]
47992	In the Misty Seas	by Harold Bindloss	[Subtitle: A Story of the Sealers of Behring Strait]
47993	A Renaissance Courtesy-book	by Giovanni Della Casa	[Subtitle: Galateo of Manners and Behaviours]
47995	Little Mitchell	by Margaret W. Morley	[Subtitle: The Story of a Mountain Squirrel]
47996	Eighteenth Century Vignettes	by Austin Dobson
47997	A Life for a Life, Vol. 1 of 3	by Dinah Maria Craik
47998	Choffard	by Vera Salomons
47999	Natural Gemstones	by Various
48001	The Juvenile Lavater	by George Brewer	[Subtitle: or, A Familiar Explanation of the Passions of Le Brun; Calculated for the Instruction and Entertainment of Young Persons; Interspersed with Moral and Amusing Tales]
48002	Aristotle	by A. E. Taylor
48003	A road-book to old Chelsea	by G. B. Stuart
48007	Rustic Chivalry (Cavalleria Rusticana)	by Pietro Mascagni	[Subtitle: Melodrama in One Act]
48008	Inorganic Plant Poisons and Stimulants	by Winifred E. Brenchley
48009	Under the Law	by Edwina Stanton Babcock
48010	Animal Parasites and Messmates	by P. J. Van Beneden
48012	Diary of Richard Cocks, Vol. 2,	[Subtitle: Cape-Merchant in the English Factory in Japan 1615-1622 with Correspondence]
48013	Forty Thousand Miles Over Land and Water	by Lady Ethel Gwendoline Moffatt Vincent	[Subtitle: The Journal of a Tour Through the British Empire and America]
48014	The American Postal Service	by Louis Melius	[Subtitle: History of the Postal Service from the Earliest Times]
48015	Arrows of the Chace, Vol. 2	by John Ruskin	[Subtitle: being a collection of scattered letters published chiefly in the daily newspapers 1840-1880]
48016	An Elementary Text-book of the Microscope	by John William Griffith	[Subtitle: including a description of the methods of preparing and mounting objects, etc.]
48018	Hildebrand	by Anonymous	[Subtitle: or, The Days of Queen Elizabeth, An Historic Romance, Vol. 2 of 3]
48019	Hildebrand	by Anonymous	[Subtitle: or, The Days of Queen Elizabeth, An Historic Romance, Vol. 3 of 3]
48020	Aurora Floyd, Vol. 1 of 3	by Mary Elizabeth Braddon	[Subtitle: Fifth Edition]
48021	Aurora Floyd, Vol. 2 of 3	by Mary Elizabeth Braddon	[Subtitle: Fifth Edition]
48022	Aurora Floyd, Vol. 3 of 3	by Mary Elizabeth Braddon	[Subtitle: Fifth Edition]
48024	Physiology	by Ernest G. Martin	[Subtitle: The Science of the Body]
48026	The Sir Roger de Coverley Papers	by Various	[Editor: C. T. Winchester]
48027	On the Ethics of Naturalism	by William Ritchie Sorley
48028	The Metaphysic of Christianity and Buddhism	by Dawsonne M. Strong	[Subtitle: A symphony]
48029	Best Stories of the 1914 European War	by Various
48030	Birds and All Nature, Vol. 6, No. 1, June 1899	by Various	[Subtitle: Illustrated by Color Photography]
48031	Journal of Entomology and Zoology: Vol. 6, Number 4, December 1914	by Various
48032	The Magic Ring and Other Stories	by Various	[Subtitle: From the Yellow and Crimson Fairy Books]	[Editor: Andrew Lang]
48034	Old Broadbrim Magazine No. 32, May 9, 1903, Into the Heart of Australia	by Old Broadbrim	[Subtitle: or, A Strange Bargain and Its Consequences]	[Author a.k.a. St. George Henry Rathborne]
48035	Charles Sumner; his complete works, Vol. 5 of 20	by Charles Sumner
48038	Atoms, Nature, and Man	by Neal O. Hines	[Subtitle: Man-made Radioactivity in the Environment]
48039	From the North Foreland to Penzance	by Clive Holland
48041	The Study of Elementary Electricity and Magnetism by Experiment	by Thomas M. St. John	[Subtitle: Containing Two Hundred Experiments Performed with Simple, Home-made Apparatus]
48042	Main Currents in Nineteenth Century Literature, Vol. 6, Young Germany	by Georg Brandes
48043	A Graduated English-Welsh Spelling Book	by John Lewis
48044	Facts in Jingles	by Winifred Sackville Stoner
48045	Charles Sumner; his complete works, Vol. 6 of 20	by Charles Sumner
48046	Early Western Travels 1748-1846, Vol. 28	by Various	[Editor: Reuben Gold Thwaites]
48049	Ellen Terry and Her Sisters	by T. Edgar Pemberton
48050	Needlework Economies	by Various	[Subtitle: A Book of Mending and Making with Oddments and Scraps]	[Editor: Flora Klickmann]
48051	The Story of the Thirteen Colonies	by Hélène Adeline Guerber
48053	The Haciendas of Mexico	by Paul Alexander Bartlett	[Subtitle: An Artist's Record]
48054	Historical Tours in and about Boston	by American Oil Corporation	[Subtitle: Compliments of American Oil Company]
48055	The Haunts of Old Cockaigne	by Alex Thompson
48056	Miscellaneous Pieces, in Prose	by John Aikin and Anna Lætitia Barbauld
48057	Ten Tudor Statesmen	by Arthur D. Innes
48058	The Conquest of the River Plate (1535-1555)	by Ulrich Schmidt and Alvar Núñez Cabeza de Vaca
48059	A Vers de Société Anthology	by Various	[Subtitle: Collected by Carolyn Wells]
48063	A Little Garden Calendar for Boys and Girls	by Albert Bigelow Paine
48065	Anecdotes of the Manners and Customs of London during the Eighteenth Century, Vol. 1 of 2	by Jammes Peller Malcolm	[Subtitle: Including the Charities, Depravities, Dresses, and Amusements etc.]
48066	Anecdotes of the Manners and Customs of London during the Eighteenth Century, Vol. 2 of 2	by Jammes Peller Malcolm	[Subtitle: Including the Charities, Depravities, Dresses, and Amusements etc.]
48067	Sonnets and Canzonets	by A. Bronson Alcott
48068	Cursed	by George Allan England
48072	The Modern Malady	by Cyril Bennett	[Subtitle: Or, Sufferers from Nerves]
48076	Memoirs of the Duchesse De Dino	by Duchesse De Dino	[Subtitle: (Afterwards by Duchesse de Talleyrand et de Sagan) 1841-1850]
48077	Charles Sumner, his complete works, Vol. 7 of 20	by Charles Sumner
48078	History of Embalming	by J. N. Gannal	[Subtitle: and of Preparations in Anatomy, Pathology, and Natural History]
48079	Opuscula	by Robert Gordon Latham	[Subtitle: Essays chiefly Philological and Ethnographical]
48080	The Chariot of the Flesh	by Hedley Peek
48083	History of the War in Afghanistan, Vol. I of 3	by Sir John William Kaye	[Subtitle: Third Edition]
48084	The White Cat	by Gelett Burgess
48085	Birds and All Nature, Vol. 6, No. 2, September 1899	by Various	[Subtitle: Illustrated by Color Photography]
48087	Nancy Pembroke in Nova Scotia	by Margaret T. Van Epps
48089	The Fall of a Nation	by Thomas Dixon	[Subtitle: A Sequel to the Birth of a Nation]
48094	Sumerian Hymns	by Frederick Augustus Vanderburgh	[Subtitle: from Cuneiform Texts in the British Museum]
48095	Back o' the Moon	by Oliver Onions	[Subtitle: and other stories]
48096	Mr. Punch In Society	by Various	[Subtitle: Being the humours of social life]	[Editor: J. A. Hammerton]
48099	Dean of Lismore's Book	by Various	[Subtitle: A Selection of Ancient Gaelic Poetry]
48100	The Sabbath-School Index	by Richard Gay Pardee	[Subtitle: Pointing out the history and progress of Sunday-schools, with approved modes of instruction]
48101	Journal of Entomology and Zoology, March 1917	by Various
48102	Blackwood's Edinburgh Magazine, Vol. 71, No. 438, April 1852	by Various
48103	Terry's Texas Rangers	by Leonidas B. Giles
48105	Dictionary of Quotations from Ancient and Modern, English and Foreign Sources	by James Wood
